ID,CompPre,VisualsPre,WritingPre,PresPre,StatsPre,ReadPre,CritiquePre,PartPre,ConBecPre,PrepPre,ConNavPre,ContactPre,CompPost,VisualsPost,WritingPost,PresPost,StatsPost,ReadPost,CritiquePost,PartPost,ConBecPost,PrepPost,ConNavPost,ContactPost,Comp,Visuals,Writing,Pres,Stats,Read,Critique,Part,ConBec,Prep,ConNav,Contact
1,2,4,3,3,4,3,2,2,3,3,3,4,NaN,NaN,2,NaN,3,3,2,3,3,2,3,3,NaN,NaN,-1,NaN,-1,0,0,1,0,-1,0,-1
2,1,2,2,2,2,2,2,2,5,5,3,2,3,3,3,3,3,3,3,3,5,4,4,4,2,1,1,1,1,1,1,1,0,-1,1,2
3,1,3,3,2,3,3,2,2,1,2,2,1,2,3,3,3,4,3,3,3,2,5,4,5,1,0,0,1,1,0,1,1,1,3,2,4
4,1,3,2,3,3,3,2,2,4,3,4,4,2,3,2,3,2,2,3,2,3,3,4,3,1,0,0,0,-1,-1,1,0,-1,0,0,-1
5,2,4,2,1,3,2,2,2,2,1,3,2,4,4,3,2,3,3,3,3,4,3,4,2,2,0,1,1,0,1,1,1,2,2,1,0
6,1,3,2,2,2,3,2,1,4,3,3,2,3,3,2,2,3,3,3,3,4,4,4,3,2,0,0,0,1,0,1,2,0,1,1,1
7,1,1,3,2,1,3,2,1,4,3,3,2,1,3,2,4,1,4,3,3,4,3,4,5,0,2,-1,2,0,1,1,2,0,0,1,3
8,2,3,3,3,3,4,3,2,3,4,3,3,2,3,4,3,3,3,3,3,4,4,4,4,0,0,1,0,0,-1,0,1,1,0,1,1
9,1,4,3,2,3,3,3,1,4,3,5,4,1,4,3,3,2,4,4,3,3,3,5,5,0,0,0,1,-1,1,1,2,-1,0,0,1
10,1,3,2,2,3,3,3,3,5,4,4,4,NaN,3,NaN,NaN,3,3,3,3,5,4,5,2,NaN,0,NaN,NaN,0,0,0,0,0,0,1,-2
11,1,4,3,3,3,4,3,3,5,3,4,2,NaN,4,4,4,4,4,4,4,5,5,5,5,NaN,0,1,1,1,0,1,1,0,2,1,3
12,3,2,2,2,2,3,2,2,5,4,4,4,3,4,3,4,3,4,4,4,5,4,5,5,0,2,1,2,1,1,2,2,0,0,1,1
13,2,2,2,1,2,2,2,2,5,4,4,3,1,1,2,3,2,2,2,2,4,4,4,4,-1,-1,0,2,0,0,0,0,-1,0,0,1
14,1,3,3,3,3,4,4,3,3,4,4,4,NaN,4,4,4,3,4,4,4,4,4,4,4,NaN,1,1,1,0,0,0,1,1,0,0,0
15,1,3,3,2,3,4,3,4,4,3,3,2,NaN,2,2,2,3,1,1,1,5,4,5,5,NaN,-1,-1,0,0,-3,-2,-3,1,1,2,3
16,1,2,2,2,2,2,1,1,3,2,3,2,NaN,4,4,4,4,4,4,3,4,4,5,5,NaN,2,2,2,2,2,3,2,1,2,2,3
17,1,3,2,3,2,3,2,3,2,2,4,3,NaN,4,3,3,3,4,4,4,4,3,4,4,NaN,1,1,0,1,1,2,1,2,1,0,1
18,2,3,2,3,3,3,2,2,4,3,5,5,3,3,NaN,3,3,4,4,4,4,4,5,5,1,0,NaN,0,0,1,2,2,0,1,0,0
19,1,3,2,2,2,2,2,1,3,3,4,2,4,4,2,2,4,4,4,4,3,3,4,3,3,1,0,0,2,2,2,3,0,0,0,1
20,2,1,2,3,1,2,2,1,1,1,2,2,1,1,2,2,1,2,1,1,2,1,1,1,-1,0,0,-1,0,0,-1,0,1,0,-1,-1
21,2,3,3,3,3,3,3,3,3,1,3,3,NaN,NaN,2,4,4,2,2,4,4,4,3,2,NaN,NaN,-1,1,1,-1,-1,1,1,3,0,-1
22,1,3,3,3,2,3,3,3,3,2,3,3,1,3,3,3,3,3,3,2,3,2,3,3,0,0,0,0,1,0,0,-1,0,0,0,0
23,1,1,1,1,1,1,1,1,1,1,3,3,1,2,3,1,1,3,1,2,3,3,3,3,0,1,2,0,0,2,0,1,2,2,0,0
24,3,2,2,3,2,3,3,3,5,3,5,5,3,3,3,3,3,3,3,3,5,4,4,4,0,1,1,0,1,0,0,0,0,1,-1,-1
25,1,2,2,2,1,2,1,1,2,1,3,2,NaN,3,2,2,2,2,2,2,3,2,4,2,NaN,1,0,0,1,0,1,1,1,1,1,0
26,3,3,2,1,2,1,1,1,3,3,4,4,3,4,2,3,3,2,2,3,4,3,5,2,0,1,0,2,1,1,1,2,1,0,1,-2
27,2,3,3,2,3,2,1,3,3,3,4,2,3,4,3,3,4,4,4,4,4,5,5,4,1,1,0,1,1,2,3,1,1,2,1,2
28,2,3,3,3,2,2,1,1,4,3,4,4,3,4,3,3,3,3,4,4,4,4,5,4,1,1,0,0,1,1,3,3,0,1,1,0
29,1,4,4,3,3,4,3,2,3,3,2,2,2,4,4,4,4,4,4,4,4,5,5,3,1,0,0,1,1,0,1,2,1,2,3,1
30,1,2,3,2,2,3,2,2,3,3,4,1,2,3,3,3,4,4,3,4,4,3,5,4,1,1,0,1,2,1,1,2,1,0,1,3
31,1,3,3,2,3,3,3,4,4,3,3,2,3,4,3,3,2,4,4,4,4,3,4,3,2,1,0,1,-1,1,1,0,0,0,1,1
32,1,2,4,4,2,4,4,3,5,4,3,2,NaN,3,4,4,4,4,4,4,5,4,5,4,NaN,1,0,0,2,0,0,1,0,0,2,2
33,1,2,1,2,2,2,2,1,4,3,4,2,1,3,3,2,4,4,4,4,3,3,4,3,0,1,2,0,2,2,2,3,-1,0,0,1
34,1,2,1,2,2,2,1,1,4,2,3,2,2,3,2,3,2,3,2,2,5,2,4,3,1,1,1,1,0,1,1,1,1,0,1,1
35,1,3,3,3,3,3,3,2,4,3,4,3,1,3,4,4,3,4,4,4,4,4,5,4,0,0,1,1,0,1,1,2,0,1,1,1
36,1,3,4,3,2,4,3,4,2,2,3,2,NaN,NaN,NaN,NaN,NaN,4,4,4,3,2,4,2,NaN,NaN,NaN,NaN,NaN,0,1,0,1,0,1,0
37,4,4,3,4,3,2,2,2,2,1,3,2,4,3,2,3,2,2,2,2,4,3,3,4,0,-1,-1,-1,-1,0,0,0,2,2,0,2
38,1,4,4,4,2,4,4,4,5,5,5,4,3,3,3,3,3,4,4,4,5,5,4,4,2,-1,-1,-1,1,0,0,0,0,0,-1,0
39,2,3,2,2,2,3,3,1,3,2,4,1,NaN,3,3,2,3,3,3,4,3,3,4,3,NaN,0,1,0,1,0,0,3,0,1,0,2
